indice;nbTuples;tempsReel;tempsCPU;tempsUser;tempsSys;nbTimeOut
2;200;35009.333333333336;34416.333333333336;0.0;34416.333333333336;0
2;200;8435471.0;8434373.333333334;1.0E7;-1565626.666666666;0
2;200;6.481765006666666E8;6.481396733333334E8;6.466666666666666E8;1473006.6666667461;0
2;200;48112.333333333336;47513.666666666664;0.0;47513.666666666664;0
2;200;35344.666666666664;34741.0;0.0;34741.0;0
2;200;1.12119771E8;1.12115022E8;1.1E8;2115022.0;0
2;200;123271.33333333333;122618.66666666667;0.0;122618.66666666667;0
2;200;7.389099E7;7.388700633333333E7;7.333333333333333E7;553673.0;0
2;200;44127.333333333336;43465.333333333336;0.0;43465.333333333336;0
2;200;42598.0;42000.0;0.0;42000.0;0
2;200;6.692841373333334E8;6.692010203333334E8;6.7E8;-798979.6666666269;0
2;200;34457.666666666664;33850.666666666664;0.0;33850.666666666664;0
2;200;2.2379331133333334E8;2.23776068E8;2.2333333333333334E8;442734.66666665673;0
2;200;58208.333333333336;57651.666666666664;0.0;57651.666666666664;0
2;200;34053.0;33467.0;0.0;33467.0;0
2;200;4.1490193333333336E7;4.1488865666666664E7;4.0E7;1488865.6666666642;0
2;200;302627.6666666667;302030.6666666667;0.0;302030.6666666667;0
2;200;33925.666666666664;33331.333333333336;0.0;33331.333333333336;0
2;200;35448.666666666664;34806.0;0.0;34806.0;0
2;200;191225.66666666666;190634.66666666666;0.0;190634.66666666666;0
2;200;35647.666666666664;35005.0;0.0;35005.0;0
2;200;1.14334095E8;1.1432280566666667E8;1.1333333333333333E8;989472.3333333433;0
2;200;39981.0;39355.666666666664;0.0;39355.666666666664;0
3;198;33359.666666666664;32774.333333333336;0.0;32774.333333333336;0
3;198;5765216.666666667;5764509.666666667;6666666.666666667;-902157.0;0
3;198;33228.333333333336;32614.0;0.0;32614.0;0
3;198;33438.0;32883.0;0.0;32883.0;0
3;198;33066.666666666664;32492.666666666668;0.0;32492.666666666668;0
3;198;1.7930805523333333E9;1.792990084E9;1.79E9;2990084.0;0
3;198;34286.0;33716.0;0.0;33716.0;0
3;198;7.585167866666667E7;7.584751333333333E7;7.666666666666667E7;-819153.3333333433;0
3;198;33598.333333333336;32994.666666666664;0.0;32994.666666666664;0
3;198;40297.666666666664;39653.0;0.0;39653.0;0
3;198;35136.0;34506.333333333336;0.0;34506.333333333336;0
3;198;31859.333333333332;31249.333333333332;0.0;31249.333333333332;0
3;198;3.339829979E9;3.339561702E9;3.34E9;-438298.0;0
3;198;32482.0;31933.333333333332;0.0;31933.333333333332;0
3;198;31672.0;31102.666666666668;0.0;31102.666666666668;0
3;198;5.492553493333333E9;5.492104700666667E9;5.493333333333333E9;-1228632.666666031;0
3;198;5.495061056666666E8;5.494623016666666E8;5.5E8;-537698.3333333731;0
